,timestamp,open,high,low,close,volume,feature_volume,macd_signal,bollinger_hband,bollinger_lband,awesome_osc,stoch_osc,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17
0,1/1/2018 1:45,13440.01,13440.01,13377.0,13380.6,27.883,0.866214908,0.004742261,-0.013126057,0.013126057,-0.219436538,-0.075129638,,,,,,
1,1/1/2018 1:48,13401.09,13440.01,13349.0,13400.0,30.106,1.148677344,-0.012047654,-0.013204909,0.013204909,-0.192194965,0.139105094,,,,,,
2,1/1/2018 1:51,13400.0,13400.0,13320.01,13325.0,17.294,-0.484455252,-0.041712885,-0.012990163,0.012990163,-0.28411516,-0.033637439,,,,,,
3,1/1/2018 1:54,13325.0,13325.02,13200.81,13230.42,40.43,2.512546986,-0.083795112,-0.012847316,0.012847316,-0.382142127,0.051652642,,,,,,
4,1/1/2018 1:57,13230.42,13230.47,13155.38,13203.06,33.22,1.622049979,-0.111165003,-0.012724849,0.012724849,-0.571868812,0.079018449,,,,,,
5,1/1/2018 2:00,13203.0,13344.02,13202.03,13317.34,27.995,0.956060399,-0.084759461,-0.013879993,0.013879993,-0.155597585,0.470855421,,,,,,
6,1/1/2018 2:03,13317.4,13400.0,13317.38,13400.0,25.388,0.588426563,-0.035659853,-0.016206997,0.016206997,0.017890488,0.721280194,,,,,,
7,1/1/2018 2:06,13399.33,13399.99,13276.96,13300.0,27.287,0.807595204,-0.029231416,-0.015430834,0.015430834,-0.022858393,0.572766424,,,,,,
8,1/1/2018 2:09,13318.97,13411.76,13291.59,13350.69,18.149,-0.352459143,-0.010682839,-0.016101453,0.016101453,0.394564036,0.452871856,,,,,,
9,1/1/2018 2:12,13350.69,13398.81,13350.69,13387.0,9.726,-1.404013257,0.015865517,-0.017263404,0.017263404,0.666655832,0.386366916,,,,,,
10,1/1/2018 2:15,13387.0,13388.0,13300.0,13341.96,12.166,-1.095918885,0.021689852,-0.015126508,0.015126508,0.163934612,0.463678103,,,,,,
11,1/1/2018 2:18,13340.95,13340.95,13228.02,13256.44,18.595,-0.28632004,0.002302218,-0.013238987,0.013238987,-0.252133307,0.297235465,,,,,,
12,1/1/2018 2:21,13256.44,13330.37,13251.0,13330.0,21.41,0.061222169,0.015606232,-0.013837497,0.013837497,0.144943742,0.351263012,,,,,,
13,1/1/2018 2:24,13320.0,13330.0,13291.03,13308.0,21.35,0.061512823,0.022896144,-0.013885462,0.013885462,-0.062671509,0.398306574,,,,,,
14,1/1/2018 2:27,13308.0,13323.97,13225.0,13225.0,21.66,0.099655755,0.004661568,-0.013413078,0.013413078,-0.295257315,0.400173786,,,,,,
15,1/1/2018 2:30,13247.8,13297.05,13200.0,13268.92,17.524,-0.451885852,0.002664309,-0.013781023,0.013781023,-0.055840555,0.324654262,,,,,,
16,1/1/2018 2:33,13268.92,13349.99,13202.03,13294.55,40.327,2.430857218,0.012290867,-0.014133105,0.014133105,0.225995983,0.378742742,,,,,,
17,1/1/2018 2:36,13294.0,13304.98,13210.0,13225.73,19.101,-0.168357245,0.000433111,-0.013604599,0.013604599,-0.076127928,0.396091898,,,,,,
18,1/1/2018 2:39,13222.36,13245.2,13211.72,13226.1,10.842,-1.165529869,-0.002620488,-0.014137485,0.014137485,-0.018817303,0.36869025,,,,,,
19,1/1/2018 2:42,13225.22,13340.0,13225.22,13321.08,23.943,0.463937597,0.027841669,-0.016345859,0.016345859,0.358363411,0.517298084,,,,,,
20,1/1/2018 2:45,13338.97,13389.0,13320.0,13381.0,37.45,2.155971103,0.061278889,-0.024680983,0.024680983,0.396950273,0.711845569,,,,,,
21,1/1/2018 2:48,13354.03,13418.43,13347.0,13396.07,12.596,-0.90991087,0.094677112,-0.058607915,0.058607915,0.44803646,0.796074633,,,,,,
