timestamp,open,high,low,close,volume,feature_volume,macd_signal,bollinger_hband,bollinger_lband,awesome_osc,stoch_osc,,,,,,
1/1/2018 1:45,13440.01,13440.01,13377,13380.6,27.883,0.866214908,0.004742261,-0.013126057,0.013126057,-0.219436538,-0.075129638,,,,,,
1/1/2018 1:48,13401.09,13440.01,13349,13400,30.106,1.148677344,-0.012047654,-0.013204909,0.013204909,-0.192194965,0.139105094,,,,,,
1/1/2018 1:51,13400,13400,13320.01,13325,17.294,-0.484455252,-0.041712885,-0.012990163,0.012990163,-0.28411516,-0.033637439,,,,,,
1/1/2018 1:54,13325,13325.02,13200.81,13230.42,40.43,2.512546986,-0.083795112,-0.012847316,0.012847316,-0.382142127,0.051652642,,,,,,
1/1/2018 1:57,13230.42,13230.47,13155.38,13203.06,33.22,1.622049979,-0.111165003,-0.012724849,0.012724849,-0.571868812,0.079018449,,,,,,
1/1/2018 2:00,13203,13344.02,13202.03,13317.34,27.995,0.956060399,-0.084759461,-0.013879993,0.013879993,-0.155597585,0.470855421,,,,,,
1/1/2018 2:03,13317.4,13400,13317.38,13400,25.388,0.588426563,-0.035659853,-0.016206997,0.016206997,0.017890488,0.721280194,,,,,,
1/1/2018 2:06,13399.33,13399.99,13276.96,13300,27.287,0.807595204,-0.029231416,-0.015430834,0.015430834,-0.022858393,0.572766424,,,,,,
1/1/2018 2:09,13318.97,13411.76,13291.59,13350.69,18.149,-0.352459143,-0.010682839,-0.016101453,0.016101453,0.394564036,0.452871856,,,,,,
1/1/2018 2:12,13350.69,13398.81,13350.69,13387,9.726,-1.404013257,0.015865517,-0.017263404,0.017263404,0.666655832,0.386366916,,,,,,
1/1/2018 2:15,13387,13388,13300,13341.96,12.166,-1.095918885,0.021689852,-0.015126508,0.015126508,0.163934612,0.463678103,,,,,,
1/1/2018 2:18,13340.95,13340.95,13228.02,13256.44,18.595,-0.28632004,0.002302218,-0.013238987,0.013238987,-0.252133307,0.297235465,,,,,,
1/1/2018 2:21,13256.44,13330.37,13251,13330,21.41,0.061222169,0.015606232,-0.013837497,0.013837497,0.144943742,0.351263012,,,,,,
1/1/2018 2:24,13320,13330,13291.03,13308,21.35,0.061512823,0.022896144,-0.013885462,0.013885462,-0.062671509,0.398306574,,,,,,
1/1/2018 2:27,13308,13323.97,13225,13225,21.66,0.099655755,0.004661568,-0.013413078,0.013413078,-0.295257315,0.400173786,,,,,,
1/1/2018 2:30,13247.8,13297.05,13200,13268.92,17.524,-0.451885852,0.002664309,-0.013781023,0.013781023,-0.055840555,0.324654262,,,,,,
